name,   price   ,genericname,category,   costprice   ,unit,   minstock   ,requiresprescription
ABDOMINAL BELT XXL,"55,000.00",ABDOMINAL BELT XXL,,"22,300.00",,2,
ABITOL TABS 4MG,"7,500.00",ABITOL TABS 4MG,,"2,000.00",,   -     ,
ACECLOFENAC TABS,550,ACECLOFENAC TABS,,490,,750,
ACNE FREE TUBE,"8,500.00",ACNE FREE TUBE,,"6,831.95",,75,
ACRASON CREAM TUBE,"3,200.00",ACRASON CREAM TUBE,,"2,900.00",,   -     ,
ACTINAC PLUS TABLET,"3,000.00",ACTINAC PLUS TABLET,,"2,545.76",,225,
ACTION TAB,"7,000.00",ACTION TAB,,"6,250.00",,   -     ,
ACYCLOVIR EYE OINTMENT,"3,500.00",ACYCLOVIR EYE OINTMENT,,"3,000.00",,   -     ,
ACYCLOVIR SKIN CREAM TUBE,"1,700.00",ACYCLOVIR SKIN CREAM TUBE,,"1,280.06",,81,
ACYCLOVIR TAB 200MG,"11,900.00",ACYCLOVIR TAB 200MG,,"9,200.00",,52.5,
ADRENALINE INJ,"1,200.00",ADRENALINE INJ,,"1,154.54",,60,
ADULT DIAPERS,"1,250.00",ADULT DIAPERS,,944.14,,306,
ALBENDAZOLE SYRUP BOTTLE,700,ALBENDAZOLE SYRUP BOTTLE,,550,,"10,041.00",
ALBENDAZOLE TAB 2'S PACKET (ALB,310,ALBENDAZOLE TAB 2'S PACKET (ALB,,269.65,,"23,577.00",
ALLOPURINOL TAB 300MG 100'S,"8,900.00",ALLOPURINOL TAB 300MG 100'S,,"8,034.51",,   -     ,
ALTAPHAM SYRUP BOTTLE,"1,750.00",ALTAPHAM SYRUP BOTTLE,,"1,500.00",,   -     ,
ALU CAT 1,750,ALU CAT 1,,637.03,,30,
ALU CAT 2,"1,050.00",ALU CAT 2,,900,,   -     ,
ALU CAT 4 PACKET,"1,100.00",ALU CAT 4 PACKET,,802.82,,"23,677.00",
ALU SYRUP 60ML BOTTLE,"3,300.00",ALU SYRUP 60ML BOTTLE,,"2,700.00",,220,
ALUGEL SYRUP BOTTLE,"1,750.00",ALUGEL SYRUP BOTTLE,,"1,485.00",,3,
AMINOPHYLINE INJ,"1,150.00",AMINOPHYLINE INJ,,985,,55,
AMINOPHYLINE TAB PKT,"3,150.00",AMINOPHYLINE TAB PKT,,"2,400.00",,259,
AMITRIPTYLINE TAB,"9,800.00",AMITRIPTYLINE TAB,,"7,763.77",,1,
AMLODIPINE TAB 10MG,"2,250.00",AMLODIPINE TAB 10MG,,"1,500.84",,490,
AMLODIPINE TAB 5MG,"1,800.00",AMLODIPINE TAB 5MG,,"1,097.50",,366,
AMOL G CREAM TUBE,"3,100.00",AMOL G CREAM TUBE,,"2,700.00",,   -     ,
AMOX-CLAV SYRUP 228.5,"4,200.00",AMOX-CLAV SYRUP 228.5,,"3,400.00",,262,
AMOXCLAV TAB PACKET,"4,300.00",AMOXCLAV TAB PACKET,,"3,804.78",,"2,144.00",
AMOXLAV INJ,"3,950.00",AMOXLAV INJ,,"3,209.11",,408,
AMOXYLLIN CAP 250MG,"4,200.00",AMOXYLLIN CAP 250MG,,"3,461.30",,791,
AMOXYLLIN DT TABS,"7,700.00",AMOXYLLIN DT TABS,,"5,700.00",,126,
AMOXYLLINE SYRUP 100ML BOTTLE,"1,150.00",AMOXYLLINE SYRUP 100ML BOTTLE,,843.97,,"3,372.00",
AMPICILLIN + SULBACTUM 375MG TA,"15,000.00",AMPICILLIN + SULBACTUM 375MG TA,,"11,500.00",,   -     ,
AMPICILLIN CAPS 250MG,"7,600.00",AMPICILLIN CAPS 250MG,,"6,265.38",,   -     ,
AMPICILLIN INJ 500MG VIAL,950,AMPICILLIN INJ 500MG VIAL,,550,,171,
AMPICILLIN SYRUP 100ML BOTTLE,"1,350.00",AMPICILLIN SYRUP 100ML BOTTLE,,"1,100.00",,   -     ,
AMPICLOX CAPS 500MG,"10,000.00",AMPICLOX CAPS 500MG,,"8,542.20",,"4,693.00",
AMPICLOX INJ 500MG VIAL,850,AMPICLOX INJ 500MG VIAL,,650,,515,
AMPICLOX NEONATAL,"3,100.00",AMPICLOX NEONATAL,,"2,450.00",,54,
AMPICLOX SYRUP 100ML BOTTLE,"1,850.00",AMPICLOX SYRUP 100ML BOTTLE,,"1,450.00",,296,
ANT-RABIES IMMUNOGLOBIN,"24,500.00",ANT-RABIES IMMUNOGLOBIN,,"20,022.59",,101,
ANTI-D IMMUNOGLOBULIN,"170,000.00",ANTI-D IMMUNOGLOBULIN,,"121,000.00",,3,
ANTIHISTAMINE CREAM TUBE,"1,450.00",ANTIHISTAMINE CREAM TUBE,,"1,150.00",,37,
ANUSOL OINTMENT TUBE,"13,000.00",ANUSOL OINTMENT TUBE,,"7,500.00",,   -     ,
ANUSOL SUPOSSITORY TABS,"1,400.00",ANUSOL SUPOSSITORY TABS,,"1,033.60",,   -     ,
APCALIS CT 20MG,"3,000.00",APCALIS CT 20MG,,"2,625.00",,   -     ,
APDYL- H HERBAL SYRUP,"2,100.00",APDYL- H HERBAL SYRUP,,"1,950.00",,   -     ,
ARTEMETHER INJ 80MG,600,ARTEMETHER INJ 80MG,,467,,555,
ARTEQUICK TAB 6s PACKET,"8,400.00",ARTEQUICK TAB 6s PACKET,,"7,250.00",,13,
ARTESUNATE INJ 30MG,"2,900.00",ARTESUNATE INJ 30MG,,"2,500.00",,   -     ,
ARTESUNATE INJ. 60MG,"2,700.00",ARTESUNATE INJ. 60MG,,"1,800.00",,   -     ,
ASCARD TAB 75MG,"2,300.00",ASCARD TAB 75MG,,"1,800.00",,118,
ASCORIL D SYRUP,"3,400.00",ASCORIL D SYRUP,,"2,700.00",,45,
ATENOLOL TAB 50MG,"3,400.00",ATENOLOL TAB 50MG,,"2,303.95",,47,
ATORVASTATIN TAB 10MG,"2,500.00",ATORVASTATIN TAB 10MG,,"2,215.54",,66,
ATORVASTATIN TABS 20MG,"2,900.00",ATORVASTATIN TABS 20MG,,"1,614.63",,70,
ATROPINE INJ,"1,350.00",ATROPINE INJ,,997.11,,110,
AZITHROMYCIN SYRUP BOTTLE 15MLS,"1,750.00",AZITHROMYCIN SYRUP BOTTLE 15MLS,,"1,300.00",,105,
AZITHROMYCIN TAB 500MG NOT AZUM,"1,300.00",AZITHROMYCIN TAB 500MG NOT AZUM,,"1,100.14",,"1,010.00",
AZUMA TAB 250MG,"1,450.00",AZUMA TAB 250MG,,"1,100.00",,164,
AZUMA TAB 500MG,"2,150.00",AZUMA TAB 500MG,,"1,800.54",,"2,709.00",
BABY WIPES,"2,500.00",BABY WIPES,,"2,750.00",,   -     ,
BAHASHA KAKI 100'S,"1,000.00",BAHASHA KAKI 100'S,,719.9,,70,
BAHASHA KAKI KUBWA 120'S,"6,000.00",BAHASHA KAKI KUBWA 120'S,,"4,687.75",,   -     ,
BBE SOLUTION,"1,000.00",BBE SOLUTION,,754.2,,199,
BELLADONA SYRUP 100ML BOTTLE,"1,300.00",BELLADONA SYRUP 100ML BOTTLE,,"1,000.00",,359,
BENDROFLUMETHIAZIDE TAB,"6,500.00",BENDROFLUMETHIAZIDE TAB,,"6,100.13",,33,
BENZATHINE PENICILLIN INJ PENAD,950,BENZATHINE PENICILLIN INJ PENAD,,796.34,,126,
BENZYL PENICILLIN INJ 5000000IU,950,BENZYL PENICILLIN INJ 5000000IU,,800,,146,
BETACORT N CREAM,"2,350.00",BETACORT N CREAM,,"2,050.20",,320,
BETADERM CREAM,"3,300.00",BETADERM CREAM,,"2,652.07",,3,
BETASIL SYRUP CHILD,"2,200.00",BETASIL SYRUP CHILD,,"1,000.00",,   -     ,
BETROZOLE SYRUP,"2,450.00",BETROZOLE SYRUP,,"2,175.00",,113,
BISACODYL TAB,"4,500.00",BISACODYL TAB,,"3,700.04",,135,
BISOPROLOL TABLET 5MG,"10,500.00",BISOPROLOL TABLET 5MG,,"6,630.14",,123,
BISOPROLOL TABLET10MG,"10,800.00",BISOPROLOL TABLET10MG,,"8,693.92",,210,
BLOOD GIVING SET,"1,400.00",BLOOD GIVING SET,,610.69,,21,
BONISAN,"8,000.00",BONISAN,,"6,794.12",,   -     ,
BORIC ACID EAR DROP BOTTLE,"1,000.00",BORIC ACID EAR DROP BOTTLE,,650,,18,
